SampleSize, AddToBack, AddToFront, Contains, RandomAccess, AccessMid

1, 11.734, 3.61, 6.619, 3.009, 0.0
501, 1968.361, 2312.569, 231.677, 0.301, 0.0
1001, 4407.296, 3101.768, 62.583, 0.902, 0.0
1501, 2201.54, 2178.676, 130.582, 0.602, 0.0
2001, 3705.342, 3775.749, 295.464, 0.903, 0.301
2501, 6913.616, 6080.195, 612.291, 16.85, 0.301
3001, 10206.472, 8599.147, 311.712, 0.601, 0.301
3501, 12293.675, 12281.33, 213.625, 0.903, 0.301
4001, 7776.26, 8075.024, 392.95, 0.602, 0.0
4501, 11315.512, 11517.998, 316.827, 0.602, 0.0
5001, 11375.087, 12505.477, 752.201, 0.602, 0.0
5501, 34248.297, 31469.054, 540.983, 0.602, 0.0
6001, 22496.194, 18497.538, 1190.884, 0.903, 0.301
6501, 21250.266, 22047.9, 301.482, 0.601, 0.0
7001, 23312.219, 25194.488, 2635.711, 1.204, 0.0
7501, 43044.202, 55444.734, 765.44, 0.601, 0.0
8001, 56038.045, 42901.015, 869.544, 1.204, 0.0
8501, 47958.844, 37034.757, 398.666, 1.204, 0.301
9001, 40306.819, 42041.078, 390.241, 0.902, 0.0
9501, 46188.732, 47133.47, 234.385, 1.203, 0.0
